x,y,u,v,p
0.9090909090909092,0.0,0.0,0.0,-0.007249159985141655
0.9191919191919192,0.0,0.0,0.0,-0.0074196616192631305
0.9292929292929294,0.0,0.0,0.0,-0.007573085243324318
0.9393939393939394,0.0,0.0,0.0,-0.007705637639162774
0.9494949494949496,0.0,0.0,0.0,-0.007813687517474788
0.9595959595959597,0.0,0.0,0.0,-0.00789419533112339
0.9696969696969697,0.0,0.0,0.0,-0.007944760270199882
0.9797979797979799,0.0,0.0,0.0,-0.007966955378683319
0.98989898989899,0.0,0.0,0.0,-0.007957118084139892
1.0,0.0,0.0,0.0,-0.007957118084139892
0.0,0.010101010101010102,0.0,0.0,-0.013278000571761506
0.010101010101010102,0.010101010101010102,1.7088588978473258e-05,-1.7052048496433888e-05,-0.013278000571761506
